Position,Const,Created,Modified,Description,Title,URL,Title Type,Rating,Runtime,Year,Genres,Votes,ReleaseDate,Directors
1,tt0068646,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 3   
Oscar Nominations: 11
BAFTA Awards: 0
BAFTA Nominations: 4
Golden Globes: 6
Golden Globe Nominations: 8",The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1310171,3/14/1972,Francis Ford Coppola
2,tt0111161,12/21/2012,3/26/2017,"Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.9 Stars

Oscars: 0
Oscar Nominations: 7
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 2",The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,"Crime, Drama",1917120,9/10/1994,Frank Darabont
3,tt0108052,12/21/2012,3/26/2017,"Actors: 4.9 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 7 
Oscar Nominations: 12
BAFTA Awards: 6
BAFTA Nominations: 12
Golden Globes: 3
Golden Globe Nominations: 6",Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",986608,11/30/1993,Steven Spielberg
4,tt0081398,12/21/2012,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 2
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 7",Raging Bull,https://www.imdb.com/title/tt0081398/,movie,8.2,129,1980,"Biography, Drama, Sport",263426,11/13/1980,Martin Scorsese
5,tt0034583,12/21/2012,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 3 
Oscar Nominations: 8
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",435922,11/26/1942,Michael Curtiz
6,tt0033467,12/21/2012,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 1
Oscar Nominations: 9
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.4,119,1941,"Drama, Mystery",333531,5/1/1941,Orson Welles
7,tt0031381,12/21/2012,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 8
Oscar Nominations: 13
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",Gone with the Wind,https://www.imdb.com/title/tt0031381/,movie,8.2,238,1939,"Drama, History, Romance, War",241989,12/15/1939,"Sam Wood, George Cukor, Victor Fleming"
8,tt0032138,12/21/2012,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 2
Oscar Nominations: 6
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.1,102,1939,"Adventure, Family, Fantasy, Musical",325314,8/12/1939,"Mervyn LeRoy, Norman Taurog, King Vidor, George Cukor, Victor Fleming"
9,tt0073486,12/21/2012,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 5
Oscar Nominations: 9
BAFTA Awards: 6
BAFTA Nominations: 9
Golden Globes: 6
Golden Globe Nominations: 6",One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,763849,11/19/1975,Milos Forman
10,tt0056172,12/21/2012,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 7
Oscar Nominations: 10
BAFTA Awards: 4
BAFTA Nominations: 5
Golden Globes: 4
Golden Globe Nominations: 7",Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,216,1962,"Adventure, Biography, Drama, History, War",218884,12/10/1962,David Lean
11,tt0052357,4/6/2013,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0",Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.4,128,1958,"Mystery, Romance, Thriller",287654,5/9/1958,Alfred Hitchcock
12,tt0054215,12/21/2012,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 1",Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",483751,6/16/1960,Alfred Hitchcock
13,tt0071562,12/21/2012,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 6
Oscar Nominations: 11
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 0
Golden Globe Nominations: 6",The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9,202,1974,"Crime, Drama",904465,12/12/1974,Francis Ford Coppola
14,tt0047296,12/21/2012,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 8
Oscar Nominations: 12
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 4
Golden Globe Nominations: 4",On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.2,108,1954,"Crime, Drama, Thriller",114940,6/22/1954,Elia Kazan
15,tt0043014,12/21/2012,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 3
Oscar Nominations: 11
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 4
Golden Globe Nominations: 7",Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.5,110,1950,"Drama, Film-Noir",159885,8/10/1950,Billy Wilder
16,tt0109830,12/21/2012,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 6
Oscar Nominations: 13
BAFTA Awards: 1
BAFTA Nominations: 7
Golden Globes: 3
Golden Globe Nominations: 7",Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",1449440,6/23/1994,Robert Zemeckis
17,tt0059742,12/21/2012,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 5
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 2
Golden Globe Nominations: 4",The Sound of Music,https://www.imdb.com/title/tt0059742/,movie,8,174,1965,"Biography, Drama, Family, Musical, Romance",166801,3/2/1965,Robert Wise
18,tt0050083,4/6/2013,3/26/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 4",12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,"Crime, Drama",528492,4/10/1957,Sidney Lumet
19,tt0055614,12/21/2012,3/26/2017,"*****
Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 10
Oscar Nominations: 11
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 3
Golden Globe Nominations: 5",West Side Story,https://www.imdb.com/title/tt0055614/,movie,7.6,153,1961,"Crime, Drama, Musical, Romance",80612,10/18/1961,"Jerome Robbins, Robert Wise"
20,tt0076759,6/23/2016,3/26/2017,"Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.9 Stars

Oscars: 6
Oscar Nominations: 10
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 4",Star Wars,https://www.imdb.com/title/tt0076759/,movie,8.6,121,1977,"Action, Adventure, Fantasy, Sci-Fi",1035627,5/25/1977,George Lucas
21,tt0062622,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 3
BAFTA Nominations: 5
Golden Globes: 0
Golden Globe Nominations: 0",2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",489194,4/2/1968,Stanley Kubrick
22,tt0083866,12/21/2012,3/26/2017,"*****
Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 4
Oscar Nominations: 9
BAFTA Awards: 1
BAFTA Nominations: 12
Golden Globes: 2
Golden Globe Nominations: 5",E.T. the Extra-Terrestrial,https://www.imdb.com/title/tt0083866/,movie,7.9,115,1982,"Family, Sci-Fi",313721,5/26/1982,Steven Spielberg
23,tt0102926,12/21/2012,3/26/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 5
Oscar Nominations: 7
BAFTA Awards: 2
BAFTA Nominations: 9
Golden Globes: 1
Golden Globe Nominations: 5",The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1022001,1/30/1991,Jonathan Demme
24,tt0071315,12/21/2012,3/28/2017,"*****
Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 1
Oscar Nominations: 11
BAFTA Awards: 3
BAFTA Nominations: 10
Golden Globes: 4
Golden Globe Nominations: 7",Chinatown,https://www.imdb.com/title/tt0071315/,movie,8.2,130,1974,"Drama, Mystery, Thriller",243735,6/20/1974,Roman Polanski
25,tt0050212,12/21/2012,3/26/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 7
Oscar Nominations: 8
BAFTA Awards: 4
BAFTA Nominations: 4
Golden Globes: 3
Golden Globe Nominations: 4",The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.2,161,1957,"Adventure, Drama, War",168898,10/2/1957,David Lean
26,tt0045152,12/21/2012,3/28/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 2",Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",175774,3/27/1952,"Gene Kelly, Stanley Donen"
27,tt0038650,4/6/2013,3/28/2017,"*****
Actors: 5 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 0
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 1",It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",320511,12/20/1946,Frank Capra
28,tt0057012,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 3
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 0",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.5,95,1964,"Comedy, War",383761,1/29/1964,Stanley Kubrick
29,tt0053291,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 1
Oscar Nominations: 6
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 3",Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.3,121,1959,"Comedy, Romance",198918,3/19/1959,Billy Wilder
30,tt0052618,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 11
Oscar Nominations: 12
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 3
Golden Globe Nominations: 4",Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",183357,11/18/1959,William Wyler
31,tt0078788,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 2
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 8
Golden Globes: 3
Golden Globe Nominations: 4",Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.5,147,1979,"Drama, War",503931,5/19/1979,Francis Ford Coppola
32,tt0086879,12/21/2012,3/28/2017,"*****
Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 8
Oscar Nominations: 11
BAFTA Awards: 4
BAFTA Nominations: 9
Golden Globes: 4
Golden Globe Nominations: 6",Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",307750,9/6/1984,Milos Forman
33,tt0167260,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.9 Stars

Oscars: 11
Oscar Nominations: 11
BAFTA Awards: 4
BAFTA Nominations: 10
Golden Globes: 4
Golden Globe Nominations: 4",The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1368561,12/1/2003,Peter Jackson
34,tt0172495,12/21/2012,3/28/2017,"*****
Actors: 5 Stars
Direction: 4.7 Stars
Screenplay: 4.7 Stars

Oscars: 5
Oscar Nominations: 12
BAFTA Awards: 4
BAFTA Nominations: 12
Golden Globes: 2
Golden Globe Nominations: 5",Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1110797,5/1/2000,Ridley Scott
35,tt0120338,12/21/2012,3/28/2017,"*****
Actors: 4.7 Stars
Direction: 4.9 Stars
Screenplay: 4.5 Stars

Oscars: 11
Oscar Nominations: 14
BAFTA Awards: 0
BAFTA Nominations: 8
Golden Globes: 4
Golden Globe Nominations: 8",Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",882885,11/1/1997,James Cameron
36,tt0045793,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 5 Stars
Screenplay: 4.8 Stars

Oscars: 8
Oscar Nominations: 13
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 2
Golden Globe Nominations: 2",From Here to Eternity,https://www.imdb.com/title/tt0045793/,movie,7.7,118,1953,"Drama, Romance, War",37068,8/5/1953,Fred Zinnemann
37,tt0120815,12/21/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 5
Oscar Nominations: 11
BAFTA Awards: 2
BAFTA Nominations: 8
Golden Globes: 2
Golden Globe Nominations: 5",Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1009070,7/21/1998,Steven Spielberg
38,tt0105695,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 4
Oscar Nominations: 9
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 2
Golden Globe Nominations: 4",Unforgiven,https://www.imdb.com/title/tt0105695/,movie,8.2,130,1992,"Drama, Western",312501,8/3/1992,Clint Eastwood
39,tt0082971,12/21/2012,3/28/2017,"Actors: 4.7 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 4
Oscar Nominations: 8
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 1",Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.5,115,1981,"Action, Adventure",743264,6/12/1981,Steven Spielberg
40,tt0075148,12/21/2012,3/28/2017,"Actors: 4.6 Stars
Direction: 4.8 Stars
Screenplay: 4.6 Stars

Oscars: 3
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 6",Rocky,https://www.imdb.com/title/tt0075148/,movie,8.1,120,1976,"Drama, Sport",431183,11/20/1976,John G. Avildsen
41,tt0044081,12/21/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 4
Oscar Nominations: 12
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3",A Streetcar Named Desire,https://www.imdb.com/title/tt0044081/,movie,8,122,1951,Drama,85811,9/9/1951,Elia Kazan
42,tt0032904,12/21/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.8 Stars
Screenplay: 4.8 Stars

Oscars: 2
Oscar Nominations: 6
BAFTA Awards: N/A
BAFTA Nominations: N/A
Golden Globes: N/A
Golden Globe Nominations: N/A",The Philadelphia Story,https://www.imdb.com/title/tt0032904/,movie,8,112,1940,"Comedy, Romance",54808,12/5/1940,George Cukor
43,tt0056592,2/5/2013,3/28/2017,"Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.7 Stars

Oscars: 3
Oscar Nominations: 8
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 5",To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,"Crime, Drama",247042,12/25/1962,Robert Mulligan
44,tt0043278,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.8 Stars
Screenplay: 4.9 Stars

Oscars: 6
Oscar Nominations: 8
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 3",An American in Paris,https://www.imdb.com/title/tt0043278/,movie,7.2,114,1951,"Drama, Musical, Romance",25073,8/26/1951,Vincente Minnelli
45,tt0036868,12/21/2012,3/28/2017,"Actors: 4.8 Stars
Direction: 4.9 Stars
Screenplay: 4.9 Stars

Oscars: 7
Oscar Nominations: 8
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 1",The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,movie,8.1,170,1946,"Drama, Romance, War",45887,11/21/1946,William Wyler
46,tt0058385,12/24/2012,3/28/2017,"Actors: 4.9 Stars
Direction: 4.9 Stars
Screenplay: 4.8 Stars

Oscars: 8
Oscar Nominations: 12
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 5",My Fair Lady,https://www.imdb.com/title/tt0058385/,movie,7.9,170,1964,"Drama, Family, Musical, Romance",74370,10/21/1964,George Cukor
47,tt0066921,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 7
Golden Globes: 0
Golden Globe Nominations: 3",A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",632254,12/19/1971,Stanley Kubrick
48,tt0059113,12/21/2012,3/28/2017,"Actors: 5 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 5
Oscar Nominations: 10
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 5
Golden Globe Nominations: 6",Doctor Zhivago,https://www.imdb.com/title/tt0059113/,movie,8,197,1965,"Drama, Romance, War",60690,12/22/1965,David Lean
49,tt0049730,1/21/2017,3/28/2017,"*****
Actors: 4.9 Stars
Direction: 5 Stars
Screenplay: 5 Stars

Oscars: 0
Oscar Nominations: 0
BAFTA Awards: 0
BAFTA Award Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0",The Searchers,https://www.imdb.com/title/tt0049730/,movie,8,119,1956,"Adventure, Drama, Western",68583,5/16/1956,John Ford
